,Address,Price,Beds,Source
0,"1901 N Lincoln Ave, Urbana, IL 61801",615,2bd,apartments.com
1,"1901 N Lincoln Ave, Urbana, IL 61801",565,3bd,apartments.com
2,"1901 N Lincoln Ave, Urbana, IL 61801",495,4bd,apartments.com
3,"1032 Kerr Ave E, Urbana, IL 61802",745,1bd,apartments.com
4,"1032 Kerr Ave E, Urbana, IL 61802",795,1bd,apartments.com
5,"1032 Kerr Ave E, Urbana, IL 61802",805,1bd,apartments.com
6,"1032 Kerr Ave E, Urbana, IL 61802",815,1bd,apartments.com
7,"1032 Kerr Ave E, Urbana, IL 61802",845,1bd,apartments.com
8,"1032 Kerr Ave E, Urbana, IL 61802",865,1bd,apartments.com
9,"1032 Kerr Ave E, Urbana, IL 61802",915,2bd,apartments.com
10,"1032 Kerr Ave E, Urbana, IL 61802",975,2bd,apartments.com
11,"202 E Daniel St, Champaign, IL 61820",1659,1bd,apartments.com
12,"202 E Daniel St, Champaign, IL 61820",1695,1bd,apartments.com
13,"202 E Daniel St, Champaign, IL 61820",1269,2bd,apartments.com
14,"202 E Daniel St, Champaign, IL 61820",1279,2bd,apartments.com
15,"202 E Daniel St, Champaign, IL 61820",1289,2bd,apartments.com
16,"202 E Daniel St, Champaign, IL 61820",899,4bd,apartments.com
17,"202 E Daniel St, Champaign, IL 61820",959,4bd,apartments.com
18,"202 E Daniel St, Champaign, IL 61820",999,4bd,apartments.com
19,"519 E Green St, Champaign, IL 61820",1250,2bd,apartments.com
20,"519 E Green St, Champaign, IL 61820",1400,3bd,apartments.com
21,"51 E John St, Champaign, IL 61820",980,2bd,apartments.com
22,"51 E John St, Champaign, IL 61820",895,4bd,apartments.com
23,"112 E Green St, Champaign, IL 61820",850,2bd,apartments.com
24,"112 E Green St, Champaign, IL 61820",900,2bd,apartments.com
25,"1205 E Florida Ave, Urbana, IL 61801",899,2bd,apartments.com
26,"1205 E Florida Ave, Urbana, IL 61801",949,2bd,apartments.com
27,"1905 N Cunningham Ave, Urbana, IL 61802",865,Studio,apartments.com
28,"1905 N Cunningham Ave, Urbana, IL 61802",1145,1bd,apartments.com
29,"1905 N Cunningham Ave, Urbana, IL 61802",1295,2bd,apartments.com
30,"1905 N Cunningham Ave, Urbana, IL 61802",1385,2bd,apartments.com
31,"615 S Wright St, Champaign, IL 61820",1800,2bd,apartments.com
32,"615 S Wright St, Champaign, IL 61820",1850,2bd,apartments.com
33,"615 S Wright St, Champaign, IL 61820",2650,3bd,apartments.com
34,"615 S Wright St, Champaign, IL 61820",2700,3bd,apartments.com
35,"112 E Chalmers St, Champaign, IL 61820",950,3bd,apartments.com
36,"112 E Chalmers St, Champaign, IL 61820",895,4bd,apartments.com
37,"28 E Green St, Champaign, IL 61820",1715,1bd,apartments.com
38,"28 E Green St, Champaign, IL 61820",1760,1bd,apartments.com
39,"28 E Green St, Champaign, IL 61820",1515,2bd,apartments.com
40,"28 E Green St, Champaign, IL 61820",965,3bd,apartments.com
41,"28 E Green St, Champaign, IL 61820",875,4bd,apartments.com
42,"502 W Green St, Urbana, IL 61801",500,4bd,apartments.com
43,"410 N Lincoln Ave, Urbana, IL 61801",1259,Studio,apartments.com
44,"410 N Lincoln Ave, Urbana, IL 61801",1549,1bd,apartments.com
45,"410 N Lincoln Ave, Urbana, IL 61801",1029,2bd,apartments.com
46,"410 N Lincoln Ave, Urbana, IL 61801",1039,2bd,apartments.com
47,"410 N Lincoln Ave, Urbana, IL 61801",1039,2bd,apartments.com
48,"410 N Lincoln Ave, Urbana, IL 61801",1049,2bd,apartments.com
49,"410 N Lincoln Ave, Urbana, IL 61801",739,4bd,apartments.com
50,"404 E Michigan Ave, Urbana, IL 61801",1025,2bd,apartments.com
51,"404 E Michigan Ave, Urbana, IL 61801",1075,2bd,apartments.com
52,"404 E Michigan Ave, Urbana, IL 61801",800,2bd,apartments.com
53,"404 E Michigan Ave, Urbana, IL 61801",980,2bd,apartments.com
54,"404 E Michigan Ave, Urbana, IL 61801",775,2bd,apartments.com
55,"404 E Michigan Ave, Urbana, IL 61801",875,3bd,apartments.com
56,"404 E Michigan Ave, Urbana, IL 61801",1025,1bd,apartments.com
57,"404 E Michigan Ave, Urbana, IL 61801",770,2bd,apartments.com
58,"1601 N Lincoln Ave, Urbana, IL 61801",685,2bd,apartments.com
59,"1601 N Lincoln Ave, Urbana, IL 61801",590,3bd,apartments.com
60,"1601 N Lincoln Ave, Urbana, IL 61801",540,4bd,apartments.com
61,"1321 N Lincoln Ave, Urbana, IL 61801",1245,1bd,apartments.com
62,"1321 N Lincoln Ave, Urbana, IL 61801",655,2bd,apartments.com
63,"1321 N Lincoln Ave, Urbana, IL 61801",675,2bd,apartments.com
64,"1321 N Lincoln Ave, Urbana, IL 61801",490,4bd,apartments.com
65,"410 E Green St, Champaign, IL 61820",950,3bd,apartments.com
66,"410 E Green St, Champaign, IL 61820",1000,3bd,apartments.com
67,"509 E Green St, Champaign, IL 61820",1100,2bd,apartments.com
68,"707 S 4th St, Champaign, IL 61820",1799,Studio,apartments.com
69,"707 S 4th St, Champaign, IL 61820",1839,Studio,apartments.com
70,"707 S 4th St, Champaign, IL 61820",1989,1bd,apartments.com
71,"707 S 4th St, Champaign, IL 61820",1289,2bd,apartments.com
72,"707 S 4th St, Champaign, IL 61820",1305,2bd,apartments.com
73,"707 S 4th St, Champaign, IL 61820",1330,2bd,apartments.com
74,"707 S 4th St, Champaign, IL 61820",1499,2bd,apartments.com
75,"707 S 4th St, Champaign, IL 61820",1220,3bd,apartments.com
76,"707 S 4th St, Champaign, IL 61820",969,4bd,apartments.com
77,"707 S 4th St, Champaign, IL 61820",1059,4bd,apartments.com
78,"707 S 4th St, Champaign, IL 61820",1099,4bd,apartments.com
79,"11 E Columbia Ave, Champaign, IL 61820",1050,1bd,apartments.com
80,"11 E Columbia Ave, Champaign, IL 61820",1315,2bd,apartments.com
81,"512 S Third St, Champaign, IL 61820",779,2bd,apartments.com
82,"512 S Third St, Champaign, IL 61820",819,2bd,apartments.com
83,"512 S Third St, Champaign, IL 61820",939,2bd,apartments.com
84,"512 S Third St, Champaign, IL 61820",1019,2bd,apartments.com
85,"512 S Third St, Champaign, IL 61820",939,2bd,apartments.com
86,"512 S Third St, Champaign, IL 61820",699,3bd,apartments.com
87,"512 S Third St, Champaign, IL 61820",709,3bd,apartments.com
88,"512 S Third St, Champaign, IL 61820",739,3bd,apartments.com
89,"512 S Third St, Champaign, IL 61820",799,3bd,apartments.com
90,"512 S Third St, Champaign, IL 61820",859,3bd,apartments.com
91,"512 S Third St, Champaign, IL 61820",669,4bd,apartments.com
92,"512 S Third St, Champaign, IL 61820",689,4bd,apartments.com
93,"512 S Third St, Champaign, IL 61820",709,4bd,apartments.com
94,"512 S Third St, Champaign, IL 61820",739,4bd,apartments.com
95,"512 S Third St, Champaign, IL 61820",779,4bd,apartments.com
96,"200 S Vine St, Urbana, IL 61802",1495,2bd,apartments.com
97,"200 S Vine St, Urbana, IL 61802",1575,2bd,apartments.com
98,"200 S Vine St, Urbana, IL 61802",1700,3bd,apartments.com
99,"200 S Vine St, Urbana, IL 61802",1750,3bd,apartments.com
100,"911 W Springfield Ave, Urbana, IL 61801",725,1bd,apartments.com
101,"911 W Springfield Ave, Urbana, IL 61801",875,1bd,apartments.com
102,"911 W Springfield Ave, Urbana, IL 61801",1050,2bd,apartments.com
103,"911 W Springfield Ave, Urbana, IL 61801",1125,4bd,apartments.com
104,"1306 N Lincoln Ave, Urbana, IL 61801",445,1bd,apartments.com
105,"1306 N Lincoln Ave, Urbana, IL 61801",425,4bd,apartments.com
106,"1714 E Colorado Ave, Urbana, IL 61802",1050,1bd,apartments.com
107,"1714 E Colorado Ave, Urbana, IL 61802",1150,2bd,apartments.com
108,"1714 E Colorado Ave, Urbana, IL 61802",1215,2bd,apartments.com
109,"1714 E Colorado Ave, Urbana, IL 61802",1375,3bd,apartments.com
110,"314 S State St, Champaign, IL 61820",1375,1bd,apartments.com
111,"314 S State St, Champaign, IL 61820",1325,1bd,apartments.com
112,"314 S State St, Champaign, IL 61820",1695,2bd,apartments.com
113,"405 E Stoughton St, Champaign, IL 61820",1315,Studio,apartments.com
114,"405 E Stoughton St, Champaign, IL 61820",1485,1bd,apartments.com
115,"405 E Stoughton St, Champaign, IL 61820",1175,2bd,apartments.com
116,"405 E Stoughton St, Champaign, IL 61820",960,3bd,apartments.com
117,"1009 S 2nd St, Champaign, IL 61820",755,2bd,apartments.com
118,"1009 S 2nd St, Champaign, IL 61820",645,4bd,apartments.com
119,"1009 S 2nd St, Champaign, IL 61820",1150,4bd,apartments.com
120,"203 S 3rd St, Champaign, IL 61820",550,1bd,apartments.com
121,"203 S 3rd St, Champaign, IL 61820",525,3bd,apartments.com
122,"203 S 3rd St, Champaign, IL 61820",500,4bd,apartments.com
123,"1010 W University Ave, Urbana, IL 61801",1099,4bd,apartments.com
124,"1010 W University Ave, Urbana, IL 61801",1109,4bd,apartments.com
125,"707 W Springfield Ave, Urbana, IL 61801",1360,1bd,apartments.com
126,"707 W Springfield Ave, Urbana, IL 61801",1675,2bd,apartments.com
127,"707 W Springfield Ave, Urbana, IL 61801",1695,2bd,apartments.com
128,"1606 Willow View Rd, Urbana, IL 61802",875,2bd,apartments.com
129,"1606 Willow View Rd, Urbana, IL 61802",895,2bd,apartments.com
130,"1606 Willow View Rd, Urbana, IL 61802",1490,2bd,apartments.com
131,"1601 E Florida Ave, Urbana, IL 61802",629,2bd,apartments.com
132,"1601 E Florida Ave, Urbana, IL 61802",525,3bd,apartments.com
133,"908 N Broadway Ave, Urbana, IL 61801",775,1bd,apartments.com
134,"908 N Broadway Ave, Urbana, IL 61801",895,2bd,apartments.com
135,"907 E Harding Dr, Urbana, IL 61801",550,2bd,apartments.com
136,"1557 S Hunter St, Urbana, IL 61802",700,1bd,apartments.com
137,"1557 S Hunter St, Urbana, IL 61802",900,2bd,apartments.com
138,"1557 S Hunter St, Urbana, IL 61802",1000,3bd,apartments.com
139,"502 W Main St, Urbana, IL 61801",760,Studio,apartments.com
140,"502 W Main St, Urbana, IL 61801",855,1bd,apartments.com
141,"502 W Main St, Urbana, IL 61801",920,2bd,apartments.com
142,"502 W Main St, Urbana, IL 61801",1040,3bd,apartments.com
143,"2502 Prairie Green Dr, Urbana, IL 61802",775,1bd,apartments.com
144,"2502 Prairie Green Dr, Urbana, IL 61802",875,2bd,apartments.com
145,"2502 Prairie Green Dr, Urbana, IL 61802",1050,3bd,apartments.com
146,"305 W Clark St, Champaign, IL 61820",1395,1bd,apartments.com
147,"305 W Clark St, Champaign, IL 61820",1670,2bd,apartments.com
148,"409 E Chalmers St, Champaign, IL 61820",9000,2bd,apartments.com
149,"409 E Chalmers St, Champaign, IL 61820",21500,2bd,apartments.com
150,"409 E Chalmers St, Champaign, IL 61820",9750,2bd,apartments.com
151,"409 E Chalmers St, Champaign, IL 61820",15500,3bd,apartments.com
152,"409 E Chalmers St, Champaign, IL 61820",15500,4bd,apartments.com
153,"310 E Springfield Ave, Champaign, IL 61820",1519,Studio,apartments.com
154,"310 E Springfield Ave, Champaign, IL 61820",1375,1bd,apartments.com
155,"310 E Springfield Ave, Champaign, IL 61820",1485,1bd,apartments.com
156,"310 E Springfield Ave, Champaign, IL 61820",1610,1bd,apartments.com
157,"310 E Springfield Ave, Champaign, IL 61820",1665,1bd,apartments.com
158,"310 E Springfield Ave, Champaign, IL 61820",1670,1bd,apartments.com
159,"310 E Springfield Ave, Champaign, IL 61820",1675,1bd,apartments.com
160,"310 E Springfield Ave, Champaign, IL 61820",1690,1bd,apartments.com
161,"310 E Springfield Ave, Champaign, IL 61820",1730,1bd,apartments.com
162,"310 E Springfield Ave, Champaign, IL 61820",999,2bd,apartments.com
163,"310 E Springfield Ave, Champaign, IL 61820",1024,2bd,apartments.com
164,"310 E Springfield Ave, Champaign, IL 61820",1034,2bd,apartments.com
165,"310 E Springfield Ave, Champaign, IL 61820",910,3bd,apartments.com
166,"708 S 6th St, Champaign, IL 61820",1650,Studio,apartments.com
167,"708 S 6th St, Champaign, IL 61820",1820,Studio,apartments.com
168,"708 S 6th St, Champaign, IL 61820",1950,Studio,apartments.com
169,"708 S 6th St, Champaign, IL 61820",1245,2bd,apartments.com
170,"708 S 6th St, Champaign, IL 61820",1600,2bd,apartments.com
171,"708 S 6th St, Champaign, IL 61820",1025,4bd,apartments.com
172,"708 S 6th St, Champaign, IL 61820",1175,4bd,apartments.com
173,"708 S 6th St, Champaign, IL 61820",1120,4bd,apartments.com
174,"708 S 6th St, Champaign, IL 61820",1165,4bd,apartments.com
175,"708 S 6th St, Champaign, IL 61820",1195,4bd,apartments.com
176,"301 W University Ave, Champaign, IL 61820",1375,1bd,apartments.com
177,"608 E University Ave, Champaign, IL 61820",1425,1bd,apartments.com
178,"608 E University Ave, Champaign, IL 61820",1530,1bd,apartments.com
179,"608 E University Ave, Champaign, IL 61820",1899,1bd,apartments.com
180,"608 E University Ave, Champaign, IL 61820",899,2bd,apartments.com
181,"608 E University Ave, Champaign, IL 61820",815,4bd,apartments.com
182,"705 S 1st St, Champaign, IL 61820",633,3bd,apartments.com
183,"705 S 1st St, Champaign, IL 61820",496,4bd,apartments.com
184,"217 S Neil St, Champaign, IL 61820",1670,2bd,apartments.com
185,"217 S Neil St, Champaign, IL 61820",1720,2bd,apartments.com
186,"217 S Neil St, Champaign, IL 61820",1770,2bd,apartments.com
187,"217 S Neil St, Champaign, IL 61820",1999,2bd,apartments.com
188,"713-717 S Randolph St, Champaign, IL 61820",800,2bd,apartments.com
189,"713-717 S Randolph St, Champaign, IL 61820",850,3bd,apartments.com
190,"303 W Green St, Champaign, IL 61820",925,1bd,apartments.com
191,"303 W Green St, Champaign, IL 61820",600,2bd,apartments.com
192,"303 W Green St, Champaign, IL 61820",450,3bd,apartments.com
193,"404 Edgebrook Dr, Champaign, IL 61820",615,Studio,apartments.com
194,"404 Edgebrook Dr, Champaign, IL 61820",760,1bd,apartments.com
195,"404 Edgebrook Dr, Champaign, IL 61820",830,2bd,apartments.com
196,"808 N Lincoln Ave, Urbana, IL 61801",995,2bd,apartments.com
197,"813 W Main St, Urbana, IL 61801",995,2bd,apartments.com
198,"211 N Central Ave, Urbana, IL 61801",835,1bd,apartments.com
199,"208 N Harvey St, Urbana, IL 61801",1295,2bd,apartments.com
200,"208 N Harvey St, Urbana, IL 61801",1695,3bd,apartments.com
201,"1003 W Stoughton St, Urbana, IL 61801",1050,1bd,apartments.com
202,"1003 W Stoughton St, Urbana, IL 61801",1050,2bd,apartments.com
203,"302 W Locust St, Urbana, IL 61801",685,1bd,apartments.com
204,"1302-1304 Silver St, Urbana, IL 61801",840,1bd,apartments.com
205,"1302-1304 Silver St, Urbana, IL 61801",975,2bd,apartments.com
206,"705 W Elm St, Urbana, IL 61801",675,Studio,apartments.com
207,"705 W Elm St, Urbana, IL 61801",925,2bd,apartments.com
208,"705 W Elm St, Urbana, IL 61801",415,3bd,apartments.com
209,"705 W Elm St, Urbana, IL 61801",1595,4bd,apartments.com
210,"202 N Race St, Urbana, IL 61801",840,Studio,apartments.com
211,"202 N Race St, Urbana, IL 61801",950,1bd,apartments.com
212,"202 N Race St, Urbana, IL 61801",960,1bd,apartments.com
213,"202 N Race St, Urbana, IL 61801",1030,2bd,apartments.com
214,"202 N Race St, Urbana, IL 61801",1075,2bd,apartments.com
215,"202 N Race St, Urbana, IL 61801",1105,2bd,apartments.com
216,"202 N Race St, Urbana, IL 61801",1115,2bd,apartments.com
217,"202 N Race St, Urbana, IL 61801",1130,2bd,apartments.com
218,"202 N Race St, Urbana, IL 61801",1199,2bd,apartments.com
219,"300 E Fairlawn Dr, Urbana, IL 61801",960,1bd,apartments.com
220,"300 E Fairlawn Dr, Urbana, IL 61801",1024,1bd,apartments.com
221,"300 E Fairlawn Dr, Urbana, IL 61801",1620,2bd,apartments.com
222,"300 E Fairlawn Dr, Urbana, IL 61801",515,2bd,apartments.com
223,"300 E Fairlawn Dr, Urbana, IL 61801",605,2bd,apartments.com
224,"300 E Fairlawn Dr, Urbana, IL 61801",530,2bd,apartments.com
225,"300 E Fairlawn Dr, Urbana, IL 61801",550,2bd,apartments.com
226,"57 E Springfield Ave, Champaign, IL 61820",575,6bd,apartments.com
227,"1407 S State St, Champaign, IL 61820",940,1bd,apartments.com
228,"1407 S State St, Champaign, IL 61820",1045,2bd,apartments.com
229,"520 N Neil St, Champaign, IL 61820",1550,1bd,apartments.com
230,"520 N Neil St, Champaign, IL 61820",1620,2bd,apartments.com
231,"520 N Neil St, Champaign, IL 61820",1720,2bd,apartments.com
232,"513 N Hickory St, Champaign, IL 61820",1359,2bd,apartments.com
233,"513 N Hickory St, Champaign, IL 61820",1359,2bd,apartments.com
234,"513 N Hickory St, Champaign, IL 61820",1376,2bd,apartments.com
235,"205-209 N Neil St, Champaign, IL 61820",2000,1bd,apartments.com
236,"205-209 N Neil St, Champaign, IL 61820",3200,2bd,apartments.com
237,"512 E Stoughton St, Champaign, IL 61820",1375,2bd,apartments.com
238,"307-311 Birch St, Champaign, IL 61820",966,1bd,apartments.com
239,"307-311 Birch St, Champaign, IL 61820",987,1bd,apartments.com
240,"202 E Green St, Champaign, IL 61820",1225,2bd,apartments.com
241,"1107 S 2nd St, Champaign, IL 61820",3100,4bd,apartments.com
242,"1107 S 2nd St, Champaign, IL 61820",3300,4bd,apartments.com
243,"214 E Clark St, Champaign, IL 61820",1295,1bd,apartments.com
244,"202 E John St, Champaign, IL 61820",750,1bd,apartments.com
245,"202 E John St, Champaign, IL 61820",950,2bd,apartments.com
246,"202 E John St, Champaign, IL 61820",1100,2bd,apartments.com
247,"202 E John St, Champaign, IL 61820",1350,3bd,apartments.com
248,"202 E John St, Champaign, IL 61820",1575,3bd,apartments.com
249,"202 E John St, Champaign, IL 61820",3000,6bd,apartments.com
250,"17 E University Ave, Champaign, IL 61820",1015,Studio,apartments.com
251,"17 E University Ave, Champaign, IL 61820",1010,Studio,apartments.com
252,"17 E University Ave, Champaign, IL 61820",970,Studio,apartments.com
253,"17 E University Ave, Champaign, IL 61820",1100,1bd,apartments.com
254,"17 E University Ave, Champaign, IL 61820",1360,2bd,apartments.com
255,"1008 S 4th St, Champaign, IL 61820",1110,Studio,apartments.com
256,"1008 S 4th St, Champaign, IL 61820",1370,1bd,apartments.com
257,"1008 S 4th St, Champaign, IL 61820",970,2bd,apartments.com
258,"1008 S 4th St, Champaign, IL 61820",985,4bd,apartments.com
259,"1008 S 4th St, Champaign, IL 61820",860,5bd,apartments.com
260,"711 S Lynn St, Urbana, IL 61801",1150,2bd,apartments.com
261,"711 S Lynn St, Urbana, IL 61801",1195,2bd,apartments.com
262,"2403 Sharlyn Drive, Urbana, IL 61802",960,2bd,apartments.com
263,"104 S Grove St, Urbana, IL 61802",780,1bd,apartments.com
264,"104 S Grove St, Urbana, IL 61802",840,1bd,apartments.com
265,"610 W Elm St, Urbana, IL 61801",645,Studio,apartments.com
266,"610 W Elm St, Urbana, IL 61801",750,2bd,apartments.com
